pattern_id,num_stains,area_mean,area_std,major_axis_mean,major_axis_std,minor_axis_mean,minor_axis_std,solidity_mean,solidity_std,impact_angle_mean,impact_angle_std,adjusted_impact_angle_mean,adjusted_impact_angle_std,distance_to_centroid_mean,distance_to_centroid_std,mean_intensity_mean,mean_intensity_std,intensity_stddev_mean,intensity_stddev_std,hue_mean_mean,hue_mean_std,hue_std_mean,hue_std_std,sat_mean_mean,sat_mean_std,sat_std_mean,sat_std_std,val_mean_mean,val_mean_std,val_std_mean,val_std_std,shade_mean,shade_std,evenness_mean,evenness_std,orientation_cvar,fract_stains_ring_15_25,fract_stains_ring_25_35,ring_with_max_stains,fract_stains_vbin_25_35,vbin_with_max_stains,valid_stains,orig_h,orig_w,resized_h,resized_w,label_int
GS-51,266.0,688.375939849624,595.7545220883649,40.552860944834144,17.367442930214818,21.321498999753082,7.730037199707459,0.8819733038129111,0.06976841405880906,0.5561262950200682,0.15066832674017372,0.5972066902885518,0.14357508321639229,1854.1015698135598,734.1011259085722,209.53265480363504,13.252525250682142,15.357225214808274,3.9327626784874785,6.727572034128624,2.9181836335206444,10.092145241336695,10.613136048021744,124.6906938402184,14.356495974085096,28.558700622453944,5.478010555096464,209.53265480363504,13.252525250682142,15.357225214808274,3.9327626784874785,209.53265480363504,13.252525250682142,15.357225214808274,3.9327626784874785,0.3160513876671658,0.05263157894736842,0.015037593984962405,9,0.5,33,266.0,26290,33568,26290,33568,0
GS-52,1271.0,997.3296616837137,1956.6002506500663,45.542179159617326,25.49098304969826,24.962293843011615,12.15195370140145,0.8729235982177014,0.06597562704628213,0.57069977592703,0.1237957314588307,0.6227876220085985,0.11889058864592782,2911.2402381661364,1812.7341458581147,202.61240807208097,16.740404391772923,15.307955136604376,4.533107208619847,7.69722286308141,4.179820185840487,12.99026272094691,14.22389986503669,129.82577492384658,16.480069619708114,27.92956720718577,5.542552455756573,202.61240807208097,16.740404391772923,15.307955136604376,4.533107208619847,202.61240807208097,16.740404391772923,15.307955136604376,4.533107208619847,0.3372947136999537,0.08339889850511409,0.01888276947285602,5,0.046420141620771044,13,1271.0,26288,33504,26288,33504,0
GS-53,773.0,683.0646830530401,551.5001195113613,39.177945030313886,14.787617219093269,22.01776732426686,7.77417997116652,0.8820026252755333,0.059689109388310506,0.5761059540555205,0.10932411035164946,0.6261880305327499,0.10100624059654133,3018.513113828419,1187.461480493764,218.19511132485474,10.318875672345618,11.679509859420188,2.877728158187333,7.437995025277235,1.1452386727810064,4.668906938155762,6.006727642192197,109.94710788858333,11.132430408243973,23.594327881509265,4.214796199459835,218.19511132485474,10.318875672345618,11.679509859420188,2.877728158187333,218.19511132485474,10.318875672345618,11.679509859420188,2.877728158187333,0.3307311076999683,0.047865459249676584,0.0038809831824062097,8,0.018111254851228976,15,773.0,26160,33540,26160,33540,0
GS-54,1463.0,899.80997949419,1051.7226280913276,43.511121130316646,21.28690512754319,24.352798463191426,11.16045345099394,0.8773689854047534,0.0631778751382934,0.5776190434990608,0.1166409036328306,0.6278309732485267,0.10854827741101188,2574.0977324724386,1640.7108878512572,205.35754787989256,14.470197830986866,14.1515150768483,4.550264726838395,7.183685414121102,3.0433851707201374,10.692749617623662,11.8481590370302,129.0526179191696,15.70947021093448,24.988488868835823,6.603983838017812,205.35754787989256,14.470197830986866,14.1515150768483,4.550264726838395,205.35754787989256,14.470197830986866,14.1515150768483,4.550264726838395,0.36438818051861066,0.08202323991797676,0.0177717019822283,6,0.08544087491455912,20,1463.0,26500,33800,26500,33800,0
GS-55,267.0,832.3258426966293,541.8782381737949,43.65734770946052,14.830179505839183,24.607383996898996,7.913419897799933,0.8854778377428413,0.05469120143763647,0.5772098897473636,0.10762466594096784,0.6283570260770099,0.09822676055114274,3208.0187621792124,1848.3800589626155,199.40819686498963,8.238224864794029,13.532765654594657,2.868577595707082,6.484195518397045,2.1889128361469887,14.013647951080145,10.563869192822269,134.0318797388185,9.27770488368344,25.377467059865953,3.656643338621668,199.40819686498963,8.238224864794029,13.532765654594657,2.868577595707082,199.40819686498963,8.238224864794029,13.532765654594657,2.868577595707082,0.3632167933966305,0.0599250936329588,0.003745318352059925,9,0.06367041198501873,16,267.0,26300,33500,26300,33500,0
GS-56,92.0,740.4782608695652,460.0817767315487,40.32924632330255,14.146758261640139,23.38776203996918,6.924069727638155,0.8898002885670632,0.0559429115122218,0.5980643133868679,0.10144995120915552,0.6449774778850216,0.0970162089737599,3875.0622906408707,2128.567193086052,215.03753587290356,8.295684977282695,11.404827866772496,2.2298448392553185,6.189934506343046,1.1630079691869557,7.800304665064779,7.563982569179549,116.90526920829198,10.020606994361405,21.34470095325945,3.7807257247245887,215.03753587290356,8.295684977282695,11.404827866772496,2.2298448392553185,215.03753587290356,8.295684977282695,11.404827866772496,2.2298448392553185,0.4039221758843694,0.17391304347826086,0.021739130434782608,6,0.32608695652173914,18,92.0,26325,33575,26325,33575,0
GS-57,759.0,883.9209486166008,1181.6600098873232,43.94344365407618,18.195237750841546,24.604243563343495,9.893443996061288,0.8882678813494077,0.05686435567603778,0.5742524143575073,0.1123240029681065,0.6231048143615923,0.10411782353897814,3439.467912304885,2259.9378905612316,205.00146435556786,9.697275672351397,12.963105569857838,3.102625667358828,6.661092004918169,3.151054824873063,13.645553586299767,11.773920065734506,130.3742372934493,10.695641158064879,23.98296229948394,3.984232757945832,205.00146435556786,9.697275672351397,12.963105569857838,3.102625667358828,205.00146435556786,9.697275672351397,12.963105569857838,3.102625667358828,0.3803444381192177,0.06587615283267458,0.021080368906455864,6,0.09881422924901186,20,759.0,26450,33600,26450,33600,0
GS-58,12.0,623.6666666666666,374.4354133730927,34.95943772428405,9.16709085122844,22.02382092625108,8.019342500142992,0.9507500467544875,0.028976744278751812,0.6390171827489822,0.1532727081163235,0.6484387015774006,0.15440083161862012,15943.072000680666,4685.897448164941,171.865906819892,7.3345123499250455,15.701127210952839,4.1097120609838,18.462073373734775,10.133879329866621,45.562016771454886,18.41869807369858,159.2412974150113,9.0487114202359,27.1888064048111,8.024979322127807,171.865906819892,7.3345123499250455,15.701127210952839,4.1097120609838,171.865906819892,7.3345123499250455,15.701127210952839,4.1097120609838,0.23982794346131053,0.0,0.5833333333333334,32,0.3333333333333333,39,12.0,26400,33700,26400,33700,0
GS-59,11.0,635.6363636363636,307.2947356292563,49.53935258688306,18.79244802139762,17.349044981178476,5.982227705070219,0.9133359995891087,0.06273646929209672,0.41182829801862203,0.2452913996019674,0.4248229738829736,0.24747993131779147,9692.3749706908,5335.9194049374755,156.55941208708037,19.43150795175518,16.60424774798837,3.537455814361303,18.936186990991175,6.779235191008133,48.80975459438676,10.871987756675123,166.07175543382502,13.677849459012444,27.019878537290765,4.851221559692438,156.55941208708037,19.43150795175518,16.60424774798837,3.537455814361303,156.55941208708037,19.43150795175518,16.60424774798837,3.537455814361303,0.05425437259565602,0.2727272727272727,0.2727272727272727,12,0.36363636363636365,0,11.0,26275,33536,26275,33536,0
GS-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,-1,0.0,33575,13147,33575,13147,0
