iter	Passed	Remaining
1314	76049	39615
1315	76108	39557
1316	76168	39501
1317	76228	39444
1318	76285	39386
1319	76342	39328
1320	76399	39269
1321	76455	39210
1322	76512	39152
1323	76569	39094
1324	76626	39036
1325	76689	38981
1326	76748	38923
1327	76803	38864
1328	76860	38806
1329	76915	38746
1330	76976	38690
1331	77038	38635
1332	77095	38576
1333	77151	38517
1334	77208	38459
1335	77273	38405
1336	77328	38346
1337	77384	38287
1338	77441	38229
1339	77503	38173
1340	77567	38118
1341	77623	38059
1342	77681	38002
1343	77740	37944
1344	77797	37886
1345	77859	37830
1346	77916	37772
1347	77972	37713
1348	78029	37655
1349	78084	37596
1350	78143	37538
1351	78199	37480
1352	78262	37424
1353	78318	37366
1354	78373	37306
1355	78430	37248
1356	78486	37189
1357	78543	37131
1358	78599	37072
1359	78654	37014
1360	78721	36960
1361	78778	36901
1362	78836	36844
1363	78892	36785
1364	78947	36726
1365	79003	36667
1366	79066	36612
1367	79125	36555
1368	79180	36496
1369	79250	36443
1370	79307	36385
1371	79362	36326
1372	79418	36267
1373	79473	36208
1374	79529	36149
1375	79594	36095
1376	79650	36036
1377	79705	35977
1378	79761	35918
1379	79817	35859
1380	79873	35801
1381	79929	35742
1382	79983	35683
1383	80039	35624
1384	80095	35565
1385	80150	35506
1386	80205	35447
1387	80261	35388
1388	80316	35330
1389	80372	35271
1390	80429	35213
1391	80484	35154
1392	80538	35094
1393	80594	35035
1394	80649	34977
1395	80713	34922
1396	80771	34864
1397	80828	34806
1398	80884	34747
1399	80944	34690
1400	81000	34631
1401	81056	34573
1402	81111	34514
1403	81169	34456
1404	81225	34397
1405	81283	34340
1406	81338	34281
1407	81402	34226
1408	81459	34168
1409	81515	34109
1410	81578	34053
1411	81632	33994
1412	81688	33935
1413	81743	33876
1414	81799	33818
1415	81858	33761
1416	81913	33701
1417	81979	33647
1418	82034	33588
1419	82090	33529
1420	82146	33471
1421	82203	33413
1422	82260	33355
1423	82320	33298
1424	82374	33238
1425	82431	33180
1426	82486	33121
1427	82543	33063
1428	82599	33004
1429	82654	32946
1430	82712	32888
1431	82768	32830
1432	82841	32778
1433	82896	32719
1434	82953	32661
1435	83010	32602
1436	83066	32544
1437	83122	32485
1438	83178	32427
1439	83234	32368
1440	83300	32314
1441	83364	32258
1442	83420	32200
1443	83475	32141
1444	83531	32082
1445	83587	32024
1446	83645	31966
1447	83700	31908
1448	83756	31849
1449	83821	31794
1450	83878	31736
1451	83933	31677
1452	83988	31618
1453	84042	31559
1454	84097	31500
1455	84153	31441
1456	84208	31382
1457	84263	31324
1458	84320	31266
1459	84376	31207
1460	84431	31148
1461	84485	31089
1462	84541	31031
1463	84608	30977
1464	84664	30918
1465	84731	30864
1466	84788	30805
1467	84843	30747
1468	84900	30688
1469	84965	30633
1470	85023	30576
1471	85081	30518
1472	85136	30459
1473	85199	30403
1474	85257	30345
1475	85325	30291
1476	85380	30232
1477	85436	30174
1478	85490	30115
1479	85544	30056
1480	85601	29998
1481	85656	29939
1482	85711	29880
1483	85767	29822
1484	85822	29763
1485	85878	29705
1486	85933	29646
1487	85990	29588
1488	86045	29529
1489	86101	29470
1490	86157	29412
1491	86212	29353
1492	86271	29296
1493	86326	29237
1494	86381	29179
1495	86439	29121
1496	86494	29062
1497	86560	29007
1498	86618	28949
1499	86674	28891
1500	86730	28833
1501	86785	28774
1502	86842	28716
1503	86899	28658
1504	86956	28600
1505	87015	28542
